,Car_type,Fuel_type,Drive,Fuel_consumtion,vehicle_brand,Transmission,cylinder,cubic_capacity
30958,Midsize Cars,Premium,All-Wheel Drive,14.9822727272727,Ford,Manual 6-spd,4.0,2.3
30959,Midsize Cars,Regular,Front-Wheel Drive,10.3003125,Honda,Manual 6-spd,4.0,2.0
30960,Midsize Cars,Regular,Front-Wheel Drive,9.69441176470588,Honda,Automatic (variable gear ratios),4.0,2.0
30961,Midsize Cars,Regular,Front-Wheel Drive,9.41742857142857,Honda,Manual 6-spd,4.0,1.5
30962,Midsize Cars,Regular,Front-Wheel Drive,9.15583333333333,Honda,Automatic (variable gear ratios),4.0,1.5
30963,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,23.5435714285714,GMC,Manual 4-spd,8.0,5.0
30964,Midsize Cars,Premium,All-Wheel Drive,13.1844,MINI,Automatic (S8),4.0,1.5
30965,Midsize Cars,Regular,Front-Wheel Drive,10.987,Nissan,Manual 6-spd,4.0,1.8
30966,Midsize Cars,Regular,Front-Wheel Drive,10.3003125,Nissan,Automatic (variable gear ratios),4.0,1.8
30967,Midsize Cars,Premium,Front-Wheel Drive,11.7717857142857,Nissan,Manual 6-spd,4.0,1.6
30968,Midsize Cars,Premium,Front-Wheel Drive,11.3658620689655,Nissan,Auto(AV-S7),4.0,1.6
30969,Large Cars,Regular,Front-Wheel Drive,9.98818181818182,Honda,Manual 6-spd,4.0,1.5
30970,Large Cars,Regular,Front-Wheel Drive,9.69441176470588,Honda,Automatic (variable gear ratios),4.0,1.5
30971,Large Cars,Premium,Front-Wheel Drive,10.3003125,Honda,Auto(AV-S7),4.0,1.5
30972,Large Cars,Premium,Front-Wheel Drive,9.98818181818182,Honda,Manual 6-spd,4.0,1.5
30973,Small Station Wagons,Regular,All-Wheel Drive,13.1844,Volkswagen,Auto(AM-S6),4.0,1.8
30974,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,23.5435714285714,GMC,Manual 4-spd,8.0,5.0
30975,Small Station Wagons,Regular,All-Wheel Drive,13.1844,Volkswagen,Auto(AM-S6),4.0,1.8
30976,Standard Pickup Trucks 2WD,Gasoline or E85,Rear-Wheel Drive,18.3116666666667,Ford,Automatic (S6),8.0,5.0
30977,Standard Pickup Trucks 2WD,Gasoline or E85,Rear-Wheel Drive,20.600625,Ford,Automatic (S6),8.0,5.0
30978,Standard Pickup Trucks 2WD,Regular,Rear-Wheel Drive,15.6957142857143,Ford,Automatic (S6),6.0,2.7
30979,Standard Pickup Trucks 2WD,Regular,Rear-Wheel Drive,14.9822727272727,Ford,Automatic (S6),6.0,2.7
30980,Standard Pickup Trucks 2WD,Gasoline or E85,Rear-Wheel Drive,16.4805,Ford,Automatic 6-spd,6.0,3.5
30981,Standard Pickup Trucks 2WD,Regular,Rear-Wheel Drive,15.6957142857143,Ford,Automatic (S10),6.0,3.5
30982,Standard Pickup Trucks 2WD,Regular,Rear-Wheel Drive,17.3478947368421,Ford,Automatic (S10),6.0,3.5
30983,Standard Pickup Trucks 2WD,Regular,Rear-Wheel Drive,15.6957142857143,Ford,Automatic (S6),6.0,2.7
30984,Standard Pickup Trucks 2WD,Regular,Rear-Wheel Drive,16.4805,Ford,Automatic (S10),6.0,3.5
30985,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,25.3546153846154,GMC,Automatic 4-spd,8.0,5.7
30986,Standard Pickup Trucks 4WD,Gasoline or E85,Part-time 4-Wheel Drive,19.3888235294118,Ford,Automatic (S6),8.0,5.0
30987,Standard Pickup Trucks 4WD,Gasoline or E85,Part-time 4-Wheel Drive,20.600625,Ford,Automatic (S6),8.0,5.0
30988,Standard Pickup Trucks 4WD,Regular,Part-time 4-Wheel Drive,17.3478947368421,Ford,Automatic (S6),6.0,2.7
30989,Standard Pickup Trucks 4WD,Regular,Part-time 4-Wheel Drive,16.4805,Ford,Automatic (S6),6.0,2.7
30990,Standard Pickup Trucks 4WD,Gasoline or E85,Part-time 4-Wheel Drive,17.3478947368421,Ford,Automatic 6-spd,6.0,3.5
30991,Standard Pickup Trucks 4WD,Regular,Part-time 4-Wheel Drive,20.600625,Ford,Automatic (S10),6.0,3.5
30992,Standard Pickup Trucks 4WD,Regular,Part-time 4-Wheel Drive,17.3478947368421,Ford,Automatic (S6),6.0,2.7
30993,Standard Pickup Trucks 4WD,Regular,Part-time 4-Wheel Drive,16.4805,Ford,Automatic (S10),6.0,3.5
30994,Standard Pickup Trucks 4WD,Regular,Part-time 4-Wheel Drive,17.3478947368421,Ford,Automatic (S10),6.0,3.5
30995,Standard Pickup Trucks 4WD,Gasoline or E85,Part-time 4-Wheel Drive,19.3888235294118,Ford,Automatic (S6),8.0,5.0
30996,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,27.4675,GMC,Manual 4-spd,8.0,5.7
30997,Small Sport Utility Vehicle 2WD,Premium,Front-Wheel Drive,13.1844,Lexus,Automatic (S6),4.0,2.0
30998,Small Sport Utility Vehicle 2WD,Regular,Front-Wheel Drive,12.2077777777778,Mitsubishi,Auto(AV-S6),4.0,2.4
30999,Small Sport Utility Vehicle 2WD,Regular,Front-Wheel Drive,13.1844,Mitsubishi,Manual 5-spd,4.0,2.0
31000,Small Sport Utility Vehicle 2WD,Regular,Front-Wheel Drive,12.2077777777778,Mitsubishi,Auto(AV-S6),4.0,2.0
31001,Small Sport Utility Vehicle 4WD,Regular,4-Wheel Drive,14.3308695652174,Jeep,Automatic 9-spd,4.0,2.4
31002,Small Sport Utility Vehicle 4WD,Premium,All-Wheel Drive,13.73375,Lexus,Automatic (S6),4.0,2.0
31003,Small Sport Utility Vehicle 4WD,Premium,All-Wheel Drive,13.73375,Lexus,Automatic (S6),4.0,2.0
31004,Small Sport Utility Vehicle 4WD,Regular,All-Wheel Drive,10.6325806451613,Lexus,Auto(AV-S6),4.0,2.5
31005,Small Sport Utility Vehicle 4WD,Regular,4-Wheel Drive,12.6773076923077,Mitsubishi,Auto(AV-S6),4.0,2.4
31006,Small Sport Utility Vehicle 4WD,Premium,4-Wheel Drive,14.3308695652174,Mitsubishi,Automatic (S6),6.0,3.0
31007,Standard Pickup Trucks,Diesel,4-Wheel or All-Wheel Drive,23.8865625,GMC,Automatic 4-spd,8.0,6.2
31008,Small Sport Utility Vehicle 4WD,Regular,4-Wheel Drive,12.6773076923077,Mitsubishi,Auto(AV-S6),4.0,2.0
31009,Standard Sport Utility Vehicle 4WD,Gasoline or E85,Part-time 4-Wheel Drive,23.5435714285714,Toyota,Automatic (S6),8.0,5.7
31010,Compact Cars,Premium,Rear-Wheel Drive,11.3658620689655,Infiniti,Automatic (S7),6.0,3.5
31011,Compact Cars,Premium,All-Wheel Drive,11.7717857142857,Infiniti,Automatic (S7),6.0,3.5
31012,Midsize Cars,Regular,Front-Wheel Drive,13.73375,Toyota,Automatic (S6),6.0,3.5
31013,Midsize Cars,Regular,Front-Wheel Drive,8.24025,Toyota,Auto(AV-S6),4.0,2.5
31014,Small Pickup Trucks 2WD,Regular,Rear-Wheel Drive,17.3478947368421,Nissan,Automatic 5-spd,4.0,2.5
31015,Small Pickup Trucks 2WD,Regular,Rear-Wheel Drive,15.6957142857143,Nissan,Manual 5-spd,4.0,2.5
31016,Small Pickup Trucks 2WD,Regular,Rear-Wheel Drive,17.3478947368421,Nissan,Automatic 5-spd,6.0,4.0
31017,Small Pickup Trucks 2WD,Regular,Rear-Wheel Drive,17.3478947368421,Nissan,Manual 6-spd,6.0,4.0
31018,Compact Cars,Regular,Front-Wheel Drive,15.6957142857143,Saab,Manual 5-spd,4.0,2.0
31019,Standard Pickup Trucks,Diesel,4-Wheel or All-Wheel Drive,22.4814705882353,GMC,Manual 4-spd,8.0,6.2
31020,Small Pickup Trucks 2WD,Gasoline or E85,Rear-Wheel Drive,18.3116666666667,Nissan,Automatic 5-spd,6.0,4.0
31021,Small Pickup Trucks 4WD,Regular,Part-time 4-Wheel Drive,19.3888235294118,Nissan,Automatic 5-spd,6.0,4.0
31022,Small Pickup Trucks 4WD,Regular,Part-time 4-Wheel Drive,18.3116666666667,Nissan,Manual 6-spd,6.0,4.0
31023,Small Pickup Trucks 4WD,Gasoline or E85,Part-time 4-Wheel Drive,19.3888235294118,Nissan,Automatic 5-spd,6.0,4.0
31024,Small Sport Utility Vehicle 2WD,Gasoline or E85,Front-Wheel Drive,13.1844,Jeep,Automatic 9-spd,4.0,2.4
31025,Small Sport Utility Vehicle 4WD,Regular,All-Wheel Drive,13.73375,Jeep,Automatic 9-spd,4.0,2.4
31026,Standard Sport Utility Vehicle 2WD,Regular,Rear-Wheel Drive,21.974,Toyota,Automatic (S6),8.0,5.7
31027,Standard Sport Utility Vehicle 4WD,Premium,4-Wheel Drive,25.3546153846154,Mercedes-Benz,Automatic 7-spd,8.0,5.5
31028,Standard Sport Utility Vehicle 4WD,Premium,4-Wheel Drive,27.4675,Mercedes-Benz,Automatic 7-spd,12.0,6.0
31029,Standard Sport Utility Vehicle 4WD,Regular,Part-time 4-Wheel Drive,23.5435714285714,Toyota,Automatic (S6),8.0,5.7
31030,Standard Pickup Trucks,Diesel,4-Wheel or All-Wheel Drive,22.4814705882353,GMC,Manual 4-spd,8.0,6.2
31031,Compact Cars,Regular,Front-Wheel Drive,10.6325806451613,Mazda,Manual 6-spd,4.0,2.0
31032,Compact Cars,Regular,Front-Wheel Drive,10.3003125,Mazda,Automatic (S6),4.0,2.0
